run_id,test_acc,final_train_acc,final_val_acc,train_val_gap,training_time_seconds,freeze_backbone,dropout,learning_rate,batch_size,epochs,optimizer,scheduler,train_size,use_augmentation,auto_note
1,0.2466,0.186888889,0.246,-0.059111111,9.830263853,TRUE,0.2,1.00E-05,64,2,adam,,5000,FALSE,underfitting; final test accuracy=24.66% (train-val gap -5.91 pp).
2a,0.7533,0.764222222,0.75,0.014222222,12.88303638,TRUE,0.2,1,64,3,adam,,5000,FALSE,balanced fit; final test accuracy=75.33% (train-val gap 1.42 pp).
2b,0.7097,0.778,0.704,0.074,13.21774316,TRUE,0.2,0.1,64,3,adam,,5000,FALSE,balanced fit; final test accuracy=70.97% (train-val gap 7.40 pp).
2c,0.7773,0.798,0.764,0.034,18.45809984,TRUE,0.2,0.01,64,3,adam,,5000,FALSE,balanced fit; final test accuracy=77.73% (train-val gap 3.40 pp).
2d,0.7981,0.814888889,0.79,0.024888889,15.12682414,TRUE,0.2,0.001,64,3,adam,,5000,FALSE,balanced fit; final test accuracy=79.81% (train-val gap 2.49 pp).
2e,0.7372,0.696222222,0.722,-0.025777778,13.28332591,TRUE,0.2,0.0001,64,3,adam,,5000,FALSE,balanced fit; final test accuracy=73.72% (train-val gap -2.58 pp).
3a,0.7981,0.814888889,0.79,0.024888889,15.2237618,TRUE,0.2,0.001,64,3,adam,,5000,FALSE,balanced fit; final test accuracy=79.81% (train-val gap 2.49 pp).
3b,0.8087,0.850444444,0.804,0.046444444,38.52120113,TRUE,0.2,0.001,64,8,adam,,5000,FALSE,balanced fit; final test accuracy=80.87% (train-val gap 4.64 pp).
3c,0.8185,0.832222222,0.843,-0.010777778,53.09948802,TRUE,0.2,0.001,64,5,adam,,10000,FALSE,balanced fit; final test accuracy=81.85% (train-val gap -1.08 pp).
3d,0.8279,0.829944444,0.826,0.003944444,92.35931802,TRUE,0.2,0.001,64,5,adam,,20000,FALSE,balanced fit; final test accuracy=82.79% (train-val gap 0.39 pp).
4a,0.8185,0.832222222,0.843,-0.010777778,46.5847168,TRUE,0.2,0.001,64,5,adam,,10000,FALSE,balanced fit; final test accuracy=81.85% (train-val gap -1.08 pp).
4b,0.8988,0.935,0.913,0.022,82.09921432,FALSE,0.2,0.001,64,5,adam,,10000,FALSE,balanced fit; final test accuracy=89.88% (train-val gap 2.20 pp).
4c,0.8948,0.975666667,0.907,0.068666667,86.42757988,FALSE,0.2,0.0001,64,5,adam,,10000,FALSE,balanced fit; final test accuracy=89.48% (train-val gap 6.87 pp).
4d,0.8704,0.879,0.889,-0.01,81.10061336,FALSE,0.2,1.00E-05,64,5,adam,,10000,FALSE,balanced fit; final test accuracy=87.04% (train-val gap -1.00 pp).
5a,0.9024,0.990222222,0.911,0.079222222,117.7059412,FALSE,0.2,0.0001,64,8,adam,,10000,FALSE,balanced fit; final test accuracy=90.24% (train-val gap 7.92 pp).
5b,0.9148,0.949888889,0.929,0.020888889,130.9324081,FALSE,0.2,0.0001,64,8,adam,,10000,TRUE,balanced fit; final test accuracy=91.48% (train-val gap 2.09 pp).
5c,0.9141,0.968333333,0.928,0.040333333,242.6827364,FALSE,0.2,0.0001,64,12,adam,,10000,TRUE,balanced fit; final test accuracy=91.41% (train-val gap 4.03 pp).
6a,0.9146,0.959444444,0.927,0.032444444,188.0623643,FALSE,0.2,0.0001,64,10,adam,,10000,TRUE,balanced fit; final test accuracy=91.46% (train-val gap 3.24 pp).
6b,0.9171,0.959444444,0.94,0.019444444,300.2607539,FALSE,0.2,0.0001,64,10,adam,step,10000,TRUE,balanced fit; final test accuracy=91.71% (train-val gap 1.94 pp).
6c,0.9192,0.962777778,0.942,0.020777778,416.2572293,FALSE,0.2,0.0001,64,10,adam,cosine,10000,TRUE,balanced fit; final test accuracy=91.92% (train-val gap 2.08 pp).
7,0.9171,0.959444444,0.94,0.019444444,212.376003,FALSE,0.2,0.0001,64,10,adam,step,10000,TRUE,balanced fit; final test accuracy=91.71% (train-val gap 1.94 pp).
