Metric,MobileNetV2 (Before),MobileNetV2 (After),Notes,EfficientDetLite0 (Before),EfficientDetLite0 (After)
Primary task metric (accuracy),0.69,0.72,Test accuracy on the held-out test split,,
Secondary task metric (F1 macro),0.6892,0.7269,Macro-averaged F1-score,,
Validation loss (best),0.8108,0.824,Lab 7 uses best validation accuracy; Lab 8 stores best validation loss here,,
Train-Validation gap (overfitting indicator),,-0.0433,Computed from final epoch train/val accuracy,,
Training time (s),513.9,165.13,Measured wall-clock time,,
Inference time per sample (ms),0.3411,0.229,Single-batch inference timing,,
Trainable parameter count,2230277.0,2230277,Total parameters from the active model definition,,
"Improvement vs. baseline (Δ, %)",0.03,4.35%,Absolute and relative accuracy gain,,
Primary task metric (accuracy),,,Test accuracy on the held-out test split,0.54,0.57
Secondary task metric (F1 macro),,,Macro-averaged F1-score,0.5271,0.5647
Validation loss (best),,,Lab 7 uses best validation accuracy; Lab 8 stores best validation loss here,0.6216,1.1044
Train-Validation gap (overfitting indicator),,,Computed from final epoch train/val accuracy,,-0.0433
Training time (s),,,Measured wall-clock time,554.6,159.29
Inference time per sample (ms),,,Single-batch inference timing,0.2557,0.1711
Trainable parameter count,,,Total parameters from the active model definition,3377413.0,3377413
"Improvement vs. baseline (Δ, %)",,,Absolute and relative accuracy gain,0.03,5.56%
