epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,val_worst_recall,selection_score,seconds
1,1.5989492273330688,0.2866666666666667,0.2855578579586865,1.3471447181701661,0.48,0.46026645768025076,0.2222222222222222,0.38885318704284216,3.744199699998717
2,1.0926818132400513,0.7666666666666667,0.7602033615006036,1.044451904296875,0.71,0.6375239009377547,0.05555555555555555,0.4629333973230949,3.192233199995826
3,0.7851003464063009,0.86,0.8598580836285754,0.8990317034721375,0.77,0.7153651649338981,0.1111111111111111,0.534088948787062,3.0677571999985958
4,0.6007376074790954,0.92,0.9190341355572731,0.7847175824642182,0.82,0.7959695182420794,0.3333333333333333,0.6571786627694555,3.3489040000058594
5,0.505219513575236,0.9433333333333334,0.9425584262313741,0.6890841853618622,0.87,0.8530598039768986,0.4444444444444444,0.7304751961171623,2.946221100006369
6,0.47551788091659547,0.96,0.9591043909202478,0.6299033081531524,0.89,0.8800864005687126,0.5555555555555556,0.7827271470647654,2.9529546999983722
7,0.4385408846537272,0.9733333333333334,0.9729295462268925,0.5927337157726288,0.89,0.8790096154268907,0.6111111111111112,0.7986400641321568,3.1810175999999046
8,0.4645619054635366,0.96,0.9599087980919114,0.5421563172340393,0.93,0.9257624668492674,0.7777777777777778,0.8813670601278205,3.38664570000401
9,0.42458553473154703,0.98,0.9798485808696459,0.5208364045619964,0.94,0.9392540297205612,0.8333333333333334,0.9074778208043928,4.351608700002544
10,0.43354347785313924,0.9666666666666667,0.9665667971934958,0.5105321168899536,0.95,0.9495927106474774,0.8888888888888888,0.9313815641199008,3.4323440000007395
11,0.4232378077507019,0.97,0.9689770401664868,0.4893849563598633,0.94,0.9383388137863842,0.8666666666666667,0.9168371696504689,3.523646599998756
12,0.41202563285827637,0.9866666666666667,0.9859472440540401,0.47499470591545107,0.96,0.9596835348559487,0.9090909090909091,0.9445057471264368,4.903794600002584
13,0.4074474728107452,0.98,0.9790262747991474,0.4631671369075775,0.97,0.9696261503799596,0.9090909090909091,0.9514655779932444,8.770681400004833
14,0.39439640045166013,0.99,0.9895917039547172,0.4554073977470398,0.97,0.9696261503799596,0.9090909090909091,0.9514655779932444,6.471882199999527
15,0.39421806335449217,0.9933333333333333,0.9933786348583687,0.4509240484237671,0.97,0.9696261503799596,0.9090909090909091,0.9514655779932444,5.7441462999995565
16,0.39723453601201375,0.99,0.9904010399177926,0.4474406981468201,0.97,0.9696261503799596,0.9090909090909091,0.9514655779932444,5.175381100001687
17,0.4076262823740641,0.98,0.9791413932934816,0.445928692817688,0.97,0.9696261503799596,0.9090909090909091,0.9514655779932444,3.8366110999995726
18,0.3975251038869222,0.99,0.9900407609291684,0.4452881872653961,0.97,0.9696261503799596,0.9090909090909091,0.9514655779932444,4.710803000001761
