epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9774,0.97762,3.16276,1.24294,0.01076,0.89158,0.32447,0.25011,0.61536,3.11116,1.01058,0.0001375,0.0001375,0.0001375
2,33.1051,0.88485,2.32098,1.1654,0.04843,0.94834,0.45486,0.37829,0.70416,2.63667,1.06643,0.000281807,0.000281807,0.000281807
3,43.3176,0.87728,1.75232,1.13473,0.91386,0.21832,0.59826,0.49965,0.67889,2.36695,1.02199,0.000420175,0.000420175,0.000420175
4,53.102,0.85836,1.46435,1.15761,0.76462,0.6525,0.70568,0.55519,0.85036,1.67321,1.12842,0.000552602,0.000552602,0.000552602
5,63.3344,0.85431,1.31612,1.12215,0.71451,0.65194,0.70227,0.56281,0.7459,1.44156,1.10149,0.00067909,0.00067909,0.00067909
6,75.5865,0.86599,1.19249,1.11022,0.76065,0.74613,0.839,0.65121,0.7739,1.30145,1.1514,0.000799638,0.000799638,0.000799638
7,87.1431,0.80809,1.12362,1.06859,0.84331,0.6546,0.83004,0.64341,0.81705,1.34945,1.13314,0.000914245,0.000914245,0.000914245
8,98.4031,0.84148,1.14521,1.10352,0.79914,0.77452,0.84161,0.63991,0.81807,1.24292,1.14171,0.00102291,0.00102291,0.00102291
9,109.57,0.83136,1.05243,1.0963,0.7948,0.85288,0.87996,0.64649,0.7823,1.27537,1.1762,0.001052,0.001052,0.001052
10,121.377,0.84596,1.10127,1.0941,0.68398,0.65529,0.66167,0.45311,1.31449,1.9056,2.00447,0.00102725,0.00102725,0.00102725
11,131.939,0.86987,1.0644,1.11428,0.83625,0.71438,0.836,0.61184,0.90123,1.36643,1.29337,0.0010025,0.0010025,0.0010025
12,143.906,0.85165,0.99178,1.11295,0.89566,0.79712,0.89277,0.69532,0.75952,1.24146,1.13855,0.00097775,0.00097775,0.00097775
13,154.088,0.80389,0.95202,1.06768,0.89954,0.87607,0.913,0.73901,0.70063,0.96907,1.07755,0.000953,0.000953,0.000953
14,163.632,0.80512,0.95337,1.07317,0.83988,0.81004,0.84936,0.6616,0.84147,1.34868,1.16337,0.00092825,0.00092825,0.00092825
15,174.397,0.7901,0.91205,1.08199,0.85424,0.86745,0.89009,0.71875,0.79137,1.20549,1.07482,0.0009035,0.0009035,0.0009035
16,185.608,0.82436,0.93394,1.08168,0.9481,0.863,0.91525,0.76348,0.70898,0.94817,1.04552,0.00087875,0.00087875,0.00087875
17,196.993,0.7675,0.85567,1.05665,0.94394,0.88528,0.90931,0.73961,0.82087,0.97542,1.09846,0.000854,0.000854,0.000854
18,207.638,0.72529,0.86758,1.04068,0.93981,0.81224,0.90205,0.73871,0.77324,1.02629,1.08192,0.00082925,0.00082925,0.00082925
19,218.346,0.74583,0.8394,1.04861,0.89923,0.91568,0.92035,0.73457,0.8681,0.96679,1.15024,0.0008045,0.0008045,0.0008045
20,230.532,0.73604,0.76605,1.03117,0.92445,0.89687,0.92101,0.76695,0.74458,1.15501,1.04831,0.00077975,0.00077975,0.00077975
21,241.319,0.71408,0.78331,1.02964,0.90758,0.81058,0.89442,0.73389,0.77482,1.17902,1.07283,0.000755,0.000755,0.000755
22,252.917,0.69912,0.78154,1.03682,0.93423,0.87393,0.90942,0.75354,0.73134,0.93545,1.04728,0.00073025,0.00073025,0.00073025
23,264.212,0.71887,0.76078,1.05135,0.96204,0.89906,0.93392,0.78869,0.70545,0.75298,1.05395,0.0007055,0.0007055,0.0007055
24,275.038,0.69739,0.75126,1.02878,0.94678,0.89739,0.9355,0.77723,0.69433,0.70309,1.02616,0.00068075,0.00068075,0.00068075
25,286.067,0.6936,0.72907,1.01614,0.94932,0.90141,0.93013,0.7662,0.76572,0.77074,1.08776,0.000656,0.000656,0.000656
26,296.969,0.68737,0.68642,1.01977,0.96686,0.90127,0.93433,0.76744,0.79111,0.71875,1.12168,0.00063125,0.00063125,0.00063125
27,308.022,0.70069,0.71859,1.02408,0.97071,0.88953,0.92559,0.77456,0.75188,0.75609,1.06567,0.0006065,0.0006065,0.0006065
28,319.738,0.6683,0.69223,1.01256,0.95104,0.8717,0.89089,0.74219,0.71545,0.80832,1.03569,0.00058175,0.00058175,0.00058175
29,332.432,0.64559,0.68264,0.99488,0.96991,0.88628,0.89731,0.76274,0.627,0.76203,0.99053,0.000557,0.000557,0.000557
30,344.376,0.6706,0.65494,1.00437,0.96892,0.8929,0.91095,0.77519,0.63901,0.71074,0.99014,0.00053225,0.00053225,0.00053225
31,356.594,0.66645,0.64096,1.00018,0.95055,0.91616,0.92802,0.78394,0.64072,0.66832,0.98383,0.0005075,0.0005075,0.0005075
32,370.385,0.66642,0.6488,1.01359,0.95147,0.9112,0.92632,0.78428,0.65387,0.63731,0.99173,0.00048275,0.00048275,0.00048275
33,383.165,0.64294,0.62822,0.98312,0.95861,0.92012,0.92606,0.78599,0.65398,0.64865,0.98884,0.000458,0.000458,0.000458
